Gender,Age,Tenure,MonthlyCharges,TotalCharges,PaymentMethod,ContractType,InternetService,StreamingServices,TechSupport,Churn
0,33,36,134.61,4845.96,1,2,0,1,1,0
0,19,63,64.81,4083.03,2,0,1,0,0,0
1,47,67,113.23,7586.41,1,1,1,1,0,1
0,65,0,76.68,0.0,2,2,1,1,0,1
0,52,28,82.3,2304.4,2,0,1,1,1,0
0,73,20,23.21,464.2,1,0,0,0,1,0
1,38,44,78.97,3474.68,1,1,1,0,1,1
1,35,38,149.69,5688.22,1,2,1,1,0,1
0,62,46,141.78,6521.88,1,2,1,0,0,0
0,46,59,64.1,3781.9,2,0,1,0,0,1
0,54,11,117.14,1288.54,1,1,0,1,0,0
0,21,19,94.62,1797.78,1,0,1,0,1,0
1,56,70,119.69,8378.3,0,0,1,1,0,0
0,29,68,49.91,3393.88,1,1,1,1,0,0
1,65,31,34.16,1058.96,1,1,0,1,1,0
0,55,42,101.47,4261.74,3,0,0,1,1,0
1,58,37,59.25,2192.25,1,1,0,1,1,0
1,71,34,21.71,738.14,2,2,1,1,0,1
0,32,65,88.32,5740.8,3,1,0,0,1,0
1,57,58,115.26,6685.08,3,0,1,0,0,1
0,33,51,80.32,4096.32,0,2,1,1,0,0
1,78,69,82.97,5724.93,3,0,0,1,1,0
0,61,60,136.97,8218.2,3,1,1,1,0,1
1,68,57,35.29,2011.53,1,2,1,0,0,1
1,61,34,94.92,3227.28,1,0,1,0,0,1
1,64,33,48.78,1609.74,0,0,0,1,1,0
0,43,45,48.6,2187.0,0,2,1,1,0,0
1,66,15,114.96,1724.4,2,2,1,0,0,0
0,30,59,99.33,5860.47,3,1,0,0,1,0
0,67,34,134.96,4588.64,1,2,1,1,0,1
0,69,24,90.91,2181.84,2,2,0,1,1,1
1,18,70,121.73,8521.1,3,1,1,0,1,1
1,49,50,61.66,3083.0,0,0,1,1,0,0
1,64,42,43.48,1826.16,3,2,1,1,0,0
1,61,27,99.5,2686.5,2,0,1,0,0,1
0,23,60,141.06,8463.6,3,2,0,1,1,1
1,61,34,68.89,2342.26,3,1,1,0,1,0
0,24,18,112.24,2020.32,0,0,0,0,0,0
1,61,51,135.67,6919.17,1,2,1,0,0,1
1,37,50,74.91,3745.5,2,1,0,0,0,0
1,35,65,128.98,8383.7,3,1,1,0,1,1
0,47,42,121.42,5099.64,0,1,0,1,1,0
1,75,49,100.22,4910.78,2,2,1,1,1,1
0,78,70,101.26,7088.2,2,1,1,1,0,0
1,51,38,138.66,5269.08,3,2,1,0,1,1
0,69,69,149.44,10311.36,3,2,1,1,1,0
1,40,3,147.8,443.4,0,1,1,0,0,1
0,44,38,132.29,5027.02,1,2,1,0,1,0
0,67,10,20.54,205.4,3,1,0,1,1,0
0,66,48,134.34,6448.32,2,0,1,1,0,1
1,66,56,116.4,6518.4,3,0,1,0,0,1
0,75,23,38.28,880.44,2,1,1,1,0,1
0,74,63,78.13,4922.19,0,1,1,0,0,1
0,77,18,43.53,783.54,0,1,0,1,0,1
1,32,34,45.73,1554.82,2,1,1,0,1,0
1,39,8,57.15,457.2,3,2,1,1,1,0
1,33,39,60.85,2373.15,1,0,0,1,1,1
0,37,63,146.31,9217.53,3,2,1,0,1,1
1,40,5,117.95,589.75,1,0,1,0,1,1
1,24,60,54.4,3264.0,3,2,0,1,1,0
0,48,36,77.14,2777.04,0,0,1,0,0,0
0,63,13,30.63,398.19,3,1,1,0,0,1
0,77,66,86.84,5731.44,2,2,1,0,0,0
0,22,3,124.25,372.75,0,0,0,1,1,0
0,27,33,116.65,3849.45,0,2,1,1,0,0
0,57,56,59.43,3328.08,2,0,0,0,0,0
1,75,22,96.31,2118.82,2,0,1,1,1,0
1,31,54,108.63,5866.02,1,2,1,1,0,1
1,24,68,127.39,8662.52,3,0,1,1,1,1
0,77,63,48.5,3055.5,2,0,1,0,1,1
1,26,7,84.02,588.14,3,1,1,1,1,1
0,28,26,137.95,3586.7,0,2,1,0,1,0
0,23,32,84.43,2701.76,0,2,1,1,1,0
1,44,61,131.51,8022.11,3,1,1,0,0,0
1,71,69,71.98,4966.62,3,0,1,1,0,1
1,79,40,141.49,5659.6,0,1,0,0,0,1
0,43,0,148.53,0.0,2,0,1,1,1,0
1,27,44,64.73,2848.12,1,1,0,0,1,1
0,30,17,62.33,1059.61,2,1,1,1,1,0
1,40,57,47.96,2733.72,3,2,0,1,0,0
0,48,29,74.74,2167.46,1,1,1,0,0,0
0,52,39,99.67,3887.13,1,0,1,1,0,1
0,62,5,129.87,649.35,2,1,0,1,1,0
0,69,61,133.46,8141.06,1,2,1,1,1,1
1,27,25,112.55,2813.75,0,2,1,1,0,1
1,70,63,48.5,3055.5,0,2,1,1,1,1
1,63,44,99.25,4367.0,0,0,0,1,1,0
1,24,34,118.1,4015.4,2,0,1,0,0,0
1,37,36,25.54,919.44,3,1,0,0,1,1
0,34,3,88.89,266.67,3,0,1,1,0,1
1,43,57,70.12,3996.84,3,0,0,1,1,0
0,19,57,52.37,2985.09,3,2,0,1,0,1
0,32,54,20.08,1084.32,2,0,0,0,1,1
0,21,64,32.42,2074.88,0,0,0,1,1,1
1,18,53,32.09,1700.77,0,0,1,1,1,1
0,50,54,26.55,1433.7,1,2,0,1,0,0
0,74,27,143.58,3876.66,0,0,1,1,1,1
1,45,18,143.46,2582.28,3,2,1,1,1,0
0,67,24,121.04,2904.96,2,1,1,0,0,0
1,55,21,69.14,1451.94,1,1,1,0,0,0
0,27,47,122.17,5741.99,2,0,0,1,1,0
0,19,14,71.21,996.94,3,0,1,1,1,1
0,60,3,138.72,416.16,3,0,1,0,1,1
0,65,8,53.03,424.24,2,0,1,1,0,0
0,74,56,81.56,4567.36,1,0,1,0,0,1
1,54,41,44.96,1843.36,2,1,0,1,0,1
0,71,64,71.76,4592.64,1,1,0,1,0,1
1,79,4,51.15,204.6,1,0,0,0,0,1
0,61,69,109.11,7528.59,3,1,1,0,1,1
1,21,54,61.26,3308.04,3,1,1,0,1,1
0,74,40,92.12,3684.8,3,2,1,1,1,1
0,72,70,132.85,9299.5,2,2,1,1,1,0
1,79,63,124.46,7840.98,1,2,1,1,1,0
1,37,58,55.13,3197.54,2,1,1,0,1,0
1,55,28,76.38,2138.64,1,1,1,0,1,0
0,29,71,121.67,8638.57,1,0,1,0,1,1
0,52,45,38.6,1737.0,3,0,1,1,0,1
1,31,2,80.35,160.7,2,1,0,1,0,0
1,67,62,41.6,2579.2,0,2,1,0,1,0
1,38,5,31.25,156.25,1,0,1,1,0,1
1,36,21,95.96,2015.16,3,2,1,0,0,1
0,20,19,22.9,435.1,1,1,1,0,1,0
0,78,16,85.61,1369.76,1,1,1,0,0,0
1,48,12,123.47,1481.64,3,0,0,1,0,1
1,65,33,124.97,4124.01,2,2,0,0,0,0
1,53,34,38.04,1293.36,0,0,1,0,1,1
1,78,53,22.77,1206.81,2,0,0,0,0,0
1,50,48,98.37,4721.76,3,1,0,1,0,1
0,19,48,95.83,4599.84,3,1,0,1,1,0
1,64,69,103.23,7122.87,0,1,1,1,0,0
1,64,25,67.64,1691.0,0,1,1,0,0,1
1,44,32,48.31,1545.92,1,2,1,0,1,0
1,65,4,48.7,194.8,0,1,0,0,0,0
1,53,59,90.4,5333.6,0,0,1,0,1,1
0,52,33,79.95,2638.35,2,2,1,1,1,0
0,78,44,82.68,3637.92,3,1,1,1,1,0
1,52,52,121.28,6306.56,2,2,1,0,1,0
0,52,6,101.89,611.34,0,0,1,0,1,1
1,25,12,121.28,1455.36,2,2,0,0,1,0
1,64,65,91.3,5934.5,1,0,1,0,0,1
0,39,16,53.02,848.32,3,1,1,0,0,0
0,25,58,47.44,2751.52,2,1,0,1,0,0
0,52,67,31.56,2114.52,2,2,1,0,0,1
0,38,52,24.7,1284.4,2,0,1,0,0,0
1,34,21,38.37,805.77,1,1,1,1,0,0
0,75,10,63.21,632.1,1,0,0,1,0,0
1,22,32,37.93,1213.76,2,1,1,0,0,1
0,56,50,48.54,2427.0,3,2,0,0,0,0
1,57,42,141.16,5928.72,2,1,1,0,1,1
0,38,68,57.45,3906.6,2,2,0,1,0,1
1,19,12,137.89,1654.68,1,2,1,1,1,1
1,22,67,145.81,9769.27,3,2,1,1,0,0
0,73,46,125.32,5764.72,3,2,0,1,1,0
1,46,46,42.47,1953.62,1,2,1,1,0,1
0,62,68,47.39,3222.52,3,0,1,0,0,1
1,42,11,148.81,1636.91,1,1,1,0,1,0
1,51,52,23.18,1205.36,2,2,1,0,1,1
1,50,45,71.85,3233.25,0,0,1,0,1,0
1,33,69,61.3,4229.7,3,1,1,1,1,0
0,23,33,73.03,2409.99,1,2,0,0,1,1
1,39,54,142.94,7718.76,3,0,1,0,1,1
1,57,32,27.81,889.92,3,1,1,1,0,0
1,55,32,35.23,1127.36,0,2,1,1,1,1
1,69,21,125.82,2642.22,0,2,1,1,1,0
1,69,56,146.13,8183.28,0,1,1,0,0,0
0,46,47,22.47,1056.09,3,1,1,0,1,1
1,51,53,115.96,6145.88,3,1,1,1,1,0
0,76,71,148.52,10544.92,0,1,1,0,1,0
0,25,48,127.53,6121.44,2,2,1,0,0,0
0,44,44,148.71,6543.24,2,1,1,1,1,0
1,33,45,143.87,6474.15,3,1,1,0,0,1
0,79,22,112.93,2484.46,2,0,0,1,1,0
1,61,28,41.94,1174.32,1,1,1,1,0,0
0,41,51,134.03,6835.53,1,2,1,0,1,0
0,36,67,72.53,4859.51,2,2,1,1,1,1
0,61,11,146.77,1614.47,3,2,0,0,1,0
1,51,11,68.43,752.73,3,1,0,0,0,0
0,38,58,131.63,7634.54,3,1,0,0,0,0
0,60,45,141.02,6345.9,1,2,1,0,1,1
1,50,23,127.95,2942.85,2,1,1,1,0,0
0,30,63,35.43,2232.09,2,0,1,1,0,0
1,57,50,132.38,6619.0,1,1,0,1,1,0
1,70,5,70.62,353.1,1,0,0,1,1,0
1,21,50,59.88,2994.0,1,2,1,1,1,0
0,60,44,97.31,4281.64,0,1,0,0,1,0
0,67,15,112.52,1687.8,0,2,1,1,1,0
0,43,66,106.44,7025.04,0,1,1,1,1,0
0,57,53,111.08,5887.24,2,0,1,1,0,1
0,59,71,112.97,8020.87,3,2,0,0,0,0
1,32,56,70.87,3968.72,2,1,0,1,0,1
1,71,64,99.54,6370.56,1,1,1,1,1,0
0,78,1,86.73,86.73,0,1,1,0,0,0
1,41,45,140.51,6322.95,1,2,1,0,1,0
1,38,38,143.3,5445.4,3,0,0,1,1,0
0,72,25,92.53,2313.25,2,0,1,1,1,0
1,66,57,117.07,6672.99,2,1,0,0,0,0
0,18,36,114.82,4133.52,1,0,1,0,0,0
1,25,62,21.92,1359.04,3,2,1,0,0,1
0,31,43,107.61,4627.23,3,1,1,1,1,1
1,25,70,64.37,4505.9,3,1,1,0,0,1
1,66,69,84.39,5822.91,2,0,1,1,1,0
0,78,23,136.52,3139.96,1,0,1,0,0,0
1,78,35,31.4,1099.0,1,0,0,0,0,0
1,74,59,112.73,6651.07,2,2,1,0,0,0
1,18,13,21.89,284.57,2,2,1,0,0,0
0,28,65,96.05,6243.25,3,0,0,1,0,1
0,76,26,44.17,1148.42,0,0,1,1,1,0
1,59,25,80.92,2023.0,1,0,1,1,1,1
1,37,47,38.4,1804.8,3,0,0,1,1,0
0,76,56,42.0,2352.0,1,2,1,0,1,1
0,21,40,79.31,3172.4,3,1,1,0,1,0
0,59,46,102.97,4736.62,1,0,1,0,1,0
1,21,31,113.65,3523.15,1,0,0,1,1,0
1,28,38,71.34,2710.92,0,0,1,0,0,0
1,57,35,145.5,5092.5,2,1,0,0,1,1
0,49,46,85.33,3925.18,1,2,0,1,0,1
0,37,56,132.21,7403.76,2,2,1,1,0,1
1,58,56,38.43,2152.08,1,0,1,0,1,0
0,22,52,108.31,5632.12,2,2,0,1,0,1
1,57,31,40.78,1264.18,3,2,1,0,1,1
0,20,54,36.61,1976.94,0,2,1,0,0,0
0,70,28,44.32,1240.96,3,0,1,1,0,1
1,69,24,63.37,1520.88,3,1,1,1,1,0
0,55,2,33.52,67.04,1,2,0,0,0,1
0,62,53,35.15,1862.95,3,2,0,0,1,0
1,71,25,131.0,3275.0,1,1,0,0,0,0
1,43,62,115.62,7168.44,1,1,0,1,1,1
1,70,25,110.93,2773.25,2,0,0,1,1,0
0,63,26,131.87,3428.62,2,0,0,1,0,1
0,60,69,58.08,4007.52,2,2,1,1,1,1
0,55,9,24.17,217.53,2,1,0,0,1,0
0,44,28,81.23,2274.44,3,1,0,1,0,1
0,43,38,58.84,2235.92,2,0,0,1,0,1
0,23,7,79.58,557.06,1,0,0,1,1,0
0,21,22,20.27,445.94,1,0,1,1,0,1
0,30,48,89.86,4313.28,3,1,1,0,1,1
0,68,28,58.22,1630.16,1,0,0,1,0,1
0,48,69,53.68,3703.92,1,0,1,1,0,0
1,77,61,60.41,3685.01,1,2,1,0,1,0
1,77,43,47.14,2027.02,1,1,0,1,0,1
1,43,23,42.19,970.37,3,0,1,0,0,0
1,35,71,81.87,5812.77,0,0,1,0,1,0
0,33,62,131.96,8181.52,0,2,1,1,1,1
1,74,2,89.33,178.66,3,0,1,0,0,0
0,31,35,77.73,2720.55,2,0,1,0,1,0
1,61,3,136.07,408.21,2,2,1,1,1,1
0,64,25,41.99,1049.75,0,0,1,0,1,0
0,19,13,64.67,840.71,1,2,0,0,1,1
0,48,67,136.21,9126.07,0,0,1,0,0,0
0,52,51,30.7,1565.7,2,2,0,0,1,1
1,40,24,125.75,3018.0,2,0,1,1,1,0
1,54,68,116.1,7894.8,2,1,1,0,0,0
1,29,66,125.97,8314.02,0,0,0,0,0,1
0,39,64,85.99,5503.36,0,0,0,0,1,0
1,74,19,66.18,1257.42,1,1,1,1,0,0
1,77,67,134.28,8996.76,0,2,1,1,1,0
1,58,43,105.27,4526.61,1,2,0,1,0,1
1,50,30,128.18,3845.4,3,1,1,1,0,0
1,51,52,59.01,3068.52,3,1,1,0,0,1
1,33,52,84.4,4388.8,3,1,0,0,1,1
0,75,2,101.09,202.18,3,2,0,1,0,0
1,52,25,80.97,2024.25,3,0,1,0,0,0
0,30,6,22.45,134.7,0,1,1,1,0,1
1,59,12,123.6,1483.2,3,1,1,0,1,0
1,62,25,145.25,3631.25,3,0,0,1,0,0
0,60,16,146.8,2348.8,3,2,1,0,0,0
0,48,11,33.2,365.2,2,1,1,0,1,0
0,39,41,117.58,4820.78,1,2,1,0,0,1
1,43,8,30.67,245.36,3,1,0,0,1,0
1,39,49,81.94,4015.06,3,1,1,0,0,1
1,27,70,139.55,9768.5,1,1,1,1,0,1
0,30,12,71.83,861.96,1,0,1,1,0,1
0,56,27,32.72,883.44,0,2,1,0,0,0
1,32,5,127.17,635.85,2,2,1,0,1,1
1,50,50,36.69,1834.5,1,0,1,0,0,1
1,61,36,138.99,5003.64,1,0,1,0,1,0
1,59,43,79.94,3437.42,0,2,1,1,0,1
0,61,49,103.43,5068.07,3,0,1,0,0,0
0,61,0,54.88,0.0,2,0,1,1,0,1
1,71,38,62.15,2361.7,1,2,1,0,0,0
0,27,36,104.65,3767.4,1,2,1,1,1,0
0,72,23,21.13,485.99,1,0,1,1,0,0
0,70,19,102.74,1952.06,0,0,1,0,1,1
0,79,17,138.92,2361.64,0,0,0,1,0,0
1,50,61,53.95,3290.95,1,1,1,1,0,0
1,60,4,89.56,358.24,3,0,0,0,1,1
0,18,61,27.45,1674.45,2,2,1,1,0,1
1,21,3,135.25,405.75,3,1,0,0,1,1
0,49,15,88.13,1321.95,2,2,1,1,0,0
0,51,46,51.63,2374.98,0,1,0,1,1,0
1,67,67,62.23,4169.41,3,1,0,0,1,0
1,64,23,53.77,1236.71,3,2,1,1,0,0
1,25,55,25.35,1394.25,2,2,1,0,1,1
1,73,18,46.24,832.32,0,0,1,1,0,1
0,55,14,135.28,1893.92,3,1,0,0,0,0
1,42,54,95.18,5139.72,1,2,1,1,1,1
0,19,3,61.66,184.98,2,0,1,1,1,1
0,43,12,69.71,836.52,2,0,1,0,0,1
0,20,60,62.85,3771.0,0,2,1,1,0,0
0,60,42,88.06,3698.52,2,2,1,1,1,1
0,65,20,110.69,2213.8,2,2,0,1,1,0
0,19,11,106.24,1168.64,1,1,0,0,0,0
1,42,39,134.16,5232.24,3,2,0,1,1,1
1,43,22,133.45,2935.9,0,2,1,0,1,1
1,26,63,127.81,8052.03,3,2,0,0,0,0
0,24,70,135.28,9469.6,2,1,1,1,0,1
0,62,55,64.26,3534.3,3,1,0,0,0,0
0,32,60,112.12,6727.2,0,1,1,0,0,1
0,66,26,76.37,1985.62,2,1,1,1,1,1
1,68,53,109.31,5793.43,2,0,1,0,1,0
1,40,16,136.79,2188.64,0,0,1,0,0,1
0,78,61,84.56,5158.16,3,2,0,1,0,1
0,42,2,27.09,54.18,1,0,1,1,0,0
0,42,59,118.49,6990.91,2,1,1,1,0,0
1,77,69,52.65,3632.85,3,2,1,1,1,0
1,27,15,131.87,1978.05,0,0,1,0,1,1
1,32,23,106.35,2446.05,3,0,1,1,0,1
0,37,7,127.24,890.68,0,2,1,1,1,0
1,30,41,119.17,4885.97,1,2,1,1,1,0
0,74,35,102.02,3570.7,3,0,0,0,0,1
1,79,45,138.72,6242.4,3,0,1,1,1,1
0,18,43,83.6,3594.8,3,1,1,1,0,1
0,53,12,68.52,822.24,1,1,1,1,0,1
0,38,44,68.41,3010.04,2,2,1,0,1,1
1,73,33,56.29,1857.57,2,0,0,0,1,1
1,71,2,139.29,278.58,1,0,1,0,1,0
0,77,51,24.69,1259.19,0,0,0,1,0,1
1,77,62,32.29,2001.98,3,2,1,0,0,0
1,35,37,60.86,2251.82,2,2,0,0,1,1
0,65,4,107.28,429.12,1,2,1,1,1,0
0,68,14,90.46,1266.44,3,0,1,1,0,1
1,50,54,46.2,2494.8,0,1,1,1,1,0
0,35,25,113.31,2832.75,2,1,1,1,0,1
1,70,30,87.15,2614.5,3,1,1,0,0,1
0,40,21,108.71,2282.91,0,0,0,1,0,0
1,55,68,32.22,2190.96,2,1,1,0,1,1
0,33,63,80.41,5065.83,3,1,0,1,0,0
0,32,54,81.1,4379.4,0,2,0,0,1,0
1,53,31,33.04,1024.24,2,0,0,1,1,1
1,74,50,112.18,5609.0,0,1,0,1,0,1
1,60,1,147.34,147.34,2,1,1,0,1,1
0,45,22,52.33,1151.26,3,2,1,1,1,1
1,53,33,83.07,2741.31,3,0,0,0,1,1
1,27,17,136.89,2327.13,2,2,1,1,0,1
1,22,70,66.37,4645.9,1,0,1,1,0,1
0,46,8,91.17,729.36,3,2,1,0,1,1
1,26,1,100.76,100.76,2,2,1,0,1,0
0,36,31,135.2,4191.2,0,0,1,1,0,0
0,39,8,64.0,512.0,0,0,1,1,1,1
0,41,28,101.28,2835.84,0,2,1,0,1,1
1,39,48,92.0,4416.0,1,1,0,0,1,1
1,28,71,95.87,6806.77,0,1,0,0,0,0
1,37,8,89.39,715.12,0,2,1,0,1,0
1,60,22,144.75,3184.5,1,1,1,0,0,0
1,20,68,138.43,9413.24,2,1,1,1,1,0
0,79,37,29.25,1082.25,2,0,1,0,0,1
0,46,13,94.54,1229.02,0,2,1,1,1,1
1,66,68,45.4,3087.2,2,1,1,0,0,1
0,43,39,144.55,5637.45,1,2,0,0,1,1
1,46,69,29.43,2030.67,3,0,1,0,0,0
0,23,46,106.21,4885.66,3,0,1,1,1,0
0,76,20,100.96,2019.2,3,2,1,1,1,1
1,54,18,83.83,1508.94,0,2,0,0,0,1
0,61,22,45.2,994.4,2,1,1,0,0,0
1,32,14,146.65,2053.1,2,2,0,1,1,0
0,50,9,75.66,680.94,1,2,0,1,1,0
1,50,41,21.22,870.02,1,2,0,0,1,0
1,34,49,101.63,4979.87,3,1,1,0,0,1
1,70,45,84.96,3823.2,1,0,1,0,0,1
1,32,27,109.43,2954.61,0,2,1,1,1,0
1,58,57,116.66,6649.62,0,0,1,1,1,1
1,69,30,133.63,4008.9,0,0,0,1,1,0
1,63,56,54.01,3024.56,0,0,1,0,0,1
1,69,5,38.56,192.8,0,1,0,1,1,0
1,24,69,97.44,6723.36,2,0,1,0,1,1
1,76,4,117.68,470.72,0,2,1,1,0,0
0,43,22,77.25,1699.5,2,1,1,0,0,1
0,60,69,142.59,9838.71,3,2,1,1,1,1
0,63,71,114.65,8140.15,1,0,1,1,1,0
1,41,60,137.59,8255.4,3,1,1,0,0,0
0,78,55,97.66,5371.3,3,1,1,0,0,0
0,58,11,43.4,477.4,3,0,1,1,1,0
1,33,61,50.6,3086.6,1,0,1,0,1,1
1,23,46,69.6,3201.6,0,2,1,1,0,1
0,28,29,52.64,1526.56,3,2,0,0,1,0
0,29,18,65.81,1184.58,3,2,1,0,0,1
0,69,59,140.5,8289.5,2,1,1,0,1,0
0,37,15,72.24,1083.6,1,2,1,1,1,1
0,54,69,99.49,6864.81,0,1,1,1,0,1
1,33,63,87.57,5516.91,3,2,1,1,1,1
1,54,5,80.08,400.4,3,0,0,1,1,0
1,58,17,30.02,510.34,0,1,1,0,0,1
1,55,20,96.08,1921.6,1,2,1,0,1,0
1,63,42,119.04,4999.68,1,2,0,0,1,0
1,28,33,142.07,4688.31,3,2,1,1,1,1
0,64,12,131.36,1576.32,3,2,1,1,0,1
0,29,71,43.19,3066.49,1,1,1,0,1,0
0,37,32,25.41,813.12,2,2,1,0,1,0
0,79,21,100.32,2106.72,2,1,0,0,1,0
0,58,38,139.5,5301.0,3,0,0,0,0,0
1,66,45,33.17,1492.65,1,1,1,1,0,1
0,19,63,28.67,1806.21,1,0,1,0,1,1
1,22,0,27.64,0.0,0,1,1,1,0,0
1,67,9,51.28,461.52,1,0,1,0,1,1
1,47,64,89.64,5736.96,1,0,1,0,0,0
1,22,65,26.39,1715.35,0,0,1,1,0,1
1,55,4,143.17,572.68,1,1,1,0,1,0
0,41,56,134.52,7533.12,0,1,1,0,1,1
0,25,18,63.55,1143.9,3,0,0,1,0,0
1,21,18,136.74,2461.32,0,1,0,0,0,0
1,33,68,47.6,3236.8,1,0,1,0,1,1
1,79,48,93.17,4472.16,2,1,0,1,1,0
0,27,53,59.06,3130.18,1,1,1,1,1,0
1,53,34,47.48,1614.32,3,0,1,1,0,1
1,18,51,78.88,4022.88,3,2,1,1,0,1
0,47,41,27.45,1125.45,0,0,1,0,1,0
0,76,25,128.78,3219.5,1,0,1,0,0,1
0,21,16,37.94,607.04,3,1,1,1,1,1
0,52,22,48.25,1061.5,3,0,1,0,1,0
0,46,19,72.57,1378.83,1,0,1,1,1,1
1,56,31,56.41,1748.71,3,1,0,0,0,1
1,58,58,66.42,3852.36,3,0,1,0,1,1
1,31,7,50.63,354.41,2,1,1,0,0,0
0,60,33,28.62,944.46,0,0,1,0,0,1
1,57,55,65.26,3589.3,3,1,0,1,0,1
0,61,5,139.53,697.65,0,0,0,0,1,0
0,19,71,52.67,3739.57,3,2,1,0,1,0
1,27,14,94.26,1319.64,3,2,1,1,0,0
0,68,34,90.25,3068.5,0,1,1,1,0,0
1,51,15,134.0,2010.0,3,2,1,1,0,0
0,32,16,25.74,411.84,1,2,1,0,0,0
0,25,54,121.93,6584.22,2,2,1,1,0,0
1,21,3,31.23,93.69,3,1,1,0,1,0
1,35,68,103.85,7061.8,0,1,0,1,0,0
1,68,36,51.08,1838.88,2,0,0,1,0,1
1,52,32,55.25,1768.0,3,0,1,1,0,0
0,64,24,40.26,966.24,2,2,0,1,0,1
0,20,58,135.73,7872.34,3,2,1,0,1,0
1,51,33,75.14,2479.62,1,1,1,1,1,1
0,30,54,107.04,5780.16,0,2,1,1,1,1
1,27,68,87.1,5922.8,3,0,0,0,1,1
0,37,29,46.03,1334.87,0,0,0,0,0,1
0,41,41,132.82,5445.62,2,0,1,0,1,1
0,29,48,23.47,1126.56,2,0,0,0,1,0
1,20,14,127.65,1787.1,2,2,1,0,0,0
1,27,10,46.86,468.6,0,1,1,1,0,0
1,27,12,38.51,462.12,3,1,0,1,0,1
1,25,20,60.26,1205.2,2,0,1,1,0,1
1,19,40,59.82,2392.8,2,0,1,0,1,0
0,60,57,95.82,5461.74,0,2,1,1,1,0
0,46,45,29.14,1311.3,2,1,1,0,0,1
0,18,8,149.2,1193.6,0,0,1,1,0,0
1,49,4,24.05,96.2,3,0,1,0,0,0
1,73,28,109.7,3071.6,0,0,1,0,1,0
0,73,0,94.4,0.0,3,0,0,0,0,0
0,54,32,145.96,4670.72,2,0,1,0,1,1
0,45,2,29.92,59.84,1,0,1,1,1,1
0,64,12,138.79,1665.48,0,2,0,1,1,1
1,28,21,107.31,2253.51,2,0,1,1,1,0
0,37,38,115.14,4375.32,0,2,1,1,1,0
1,76,44,49.7,2186.8,3,1,1,0,1,1
1,75,63,144.86,9126.18,2,2,1,0,1,0
0,60,64,36.68,2347.52,0,0,0,1,0,0
1,68,55,51.89,2853.95,1,2,1,1,0,0
0,66,65,54.33,3531.45,2,2,0,0,0,0
1,39,50,109.62,5481.0,0,1,1,0,1,1
1,70,5,50.47,252.35,0,0,1,1,1,0
0,72,10,20.27,202.7,1,0,0,0,1,0
1,46,37,88.89,3288.93,3,2,1,1,0,0
1,52,14,92.26,1291.64,0,0,0,1,1,0
1,42,21,27.29,573.09,2,2,1,1,0,1
0,54,47,54.97,2583.59,2,1,1,1,1,1
1,52,71,25.28,1794.88,3,1,1,0,0,0
0,51,35,121.83,4264.05,1,2,1,1,1,0
1,33,52,20.03,1041.56,0,2,1,1,1,0
0,51,42,27.87,1170.54,1,2,0,0,1,1
1,48,39,52.18,2035.02,2,1,0,1,0,1
1,58,3,97.07,291.21,3,2,0,1,0,1
1,36,62,101.57,6297.34,1,2,1,0,1,1
0,42,50,100.61,5030.5,1,0,1,1,0,1
1,26,23,40.64,934.72,1,1,0,0,0,0
1,67,37,140.88,5212.56,0,2,0,0,1,1
1,46,21,59.07,1240.47,2,1,0,0,1,1
0,20,36,64.36,2316.96,0,1,0,1,0,0
1,70,23,30.76,707.48,1,0,0,0,1,0
1,61,28,119.99,3359.72,0,2,1,1,0,0
0,55,68,64.14,4361.52,1,1,1,0,1,1
1,79,9,119.56,1076.04,0,1,1,0,1,0
0,37,50,49.04,2452.0,1,1,1,1,0,1
1,61,3,46.19,138.57,3,0,1,1,0,1
1,46,61,21.77,1327.97,3,2,1,0,1,0
0,18,23,39.62,911.26,3,1,1,0,1,1
0,42,16,124.94,1999.04,0,0,0,0,1,0
1,33,56,91.01,5096.56,3,1,1,0,0,1
1,52,62,99.19,6149.78,0,1,1,0,1,0
0,48,54,68.25,3685.5,2,2,1,1,0,1
0,65,1,98.35,98.35,2,0,1,0,1,1
0,70,58,77.38,4488.04,2,2,1,1,0,1
0,78,4,133.81,535.24,2,1,1,0,0,0
1,78,53,143.37,7598.61,0,2,0,0,1,0
1,38,71,113.4,8051.4,2,2,1,0,1,0
0,54,4,117.33,469.32,1,2,1,1,0,0
0,61,49,54.72,2681.28,0,2,1,1,0,1
1,31,37,133.58,4942.46,1,0,0,1,0,0
0,59,63,113.69,7162.47,1,1,0,1,1,1
1,37,19,59.62,1132.78,2,0,1,1,1,1
1,52,64,22.66,1450.24,2,2,0,1,0,0
1,75,4,145.14,580.56,2,1,1,0,1,0
1,23,63,93.36,5881.68,1,0,1,0,1,0
0,44,63,146.94,9257.22,0,2,1,1,0,0
1,58,43,132.04,5677.72,1,0,0,0,0,1
0,59,63,126.6,7975.8,0,0,1,1,0,0
1,62,26,39.56,1028.56,3,2,1,0,1,1
0,59,27,128.94,3481.38,3,2,1,1,1,1
0,79,4,97.53,390.12,3,2,1,1,1,0
0,20,64,81.9,5241.6,2,0,1,0,0,1
1,23,39,120.2,4687.8,0,0,1,1,1,1
1,53,49,23.02,1127.98,0,1,1,0,0,1
1,45,23,21.62,497.26,2,1,1,1,0,1
1,56,50,65.76,3288.0,0,2,1,1,0,0
